Продукт,Старая цена,Новая цена,Процент скидки
AMBASSADOR Platinum Кофе натур раствор 190г ст/б(Штраус):6,"821,99 ₽","419,99 ₽",-49%
ПЕРСИЛ Капсулы д/стирки Колор 10 шт(ЛАБ Инд):8,"499,99 ₽","249,99 ₽",-50%
MILKA Шоколад с цельным фундуком 85г фл/п(Мон делис Русь):19,"147,99 ₽","79,99 ₽",-46%
РОССИЯ Шоколад молочный пористый белый 75г вак/уп(Нестле):22,"98,99 ₽","59,99 ₽",-39%
SALFETI Влажные салфетки антибак 72шт(Авангард):20,"123,99 ₽","79,99 ₽",-35%
"ЛОСК Стир/порошок Колор 2,7кг(ЛАБ Инд):4","509,99 ₽","369,99 ₽",-27%
SNICKERS Батончик белый 81г м/уп(Марс):32/160,"69,99 ₽","59,99 ₽",-14%
"Лапша РОЛЛТОН, Куриная по-домашнему, 90г","59,99 ₽","47,99 ₽",-20%
ОТ МАРТИНА Семечки отб с морской солью 200г ст/б(Мартин):14,"139,99 ₽","109,99 ₽",-21%
БРЕФ Блок д/унитаза Лимон 3штx50г(ЛАБ Инд):9,"459,99 ₽","199,99 ₽",-57%
"Шоколад ALPEN GOLD Aerated тёмный пористый, 80г","99,99 ₽","69,99 ₽",-30%
TIDE Стир порош д/чувств кожи авт 400г(Проктер энд Гэмбл):11,"99,99 ₽","89,99 ₽",-10%
МАГНИТ Хлебцы пшеничные 80г п/уп(Док Граин):25,"63,99 ₽","36,99 ₽",-42%
"Кондиционер для белья ВЕРНЕЛЬ Детский, 910мл","279,99 ₽","199,99 ₽",-29%
"Ром БАРСЕЛО ДОРАДО 0,7л (Доминика):6","1699,99 ₽","1249,99 ₽",-26%
"Корм для щенков PEDIGREE®, говядина, 85г","23,99 ₽","20,99 ₽",-13%
"Конфеты ТВИКС, минис, 184г","209,99 ₽","159,99 ₽",-24%
"Мороженое КАК РАНЬШЕ пломбир ваниль, 70г","39,99 ₽","29,99 ₽",-25%
САДЫ ПРИДОНЬЯ Сок яблоко/вишня 125мл ТБА (Сады Придонья):18,"23,99 ₽","16,99 ₽",-29%
ВОСТОЧНЫЙ ГОСТЬ Укроп сушеный 10г(ТД-холдинг):20,"49,99 ₽","29,99 ₽",-40%
PLANTO Нап минд Almond об кальц у/паст 1л ТБА (Данон):12,"229,99 ₽","179,99 ₽",-22%
"Ром Барсело Аньехо 0,7л ст/бут(Доминик Респуб):6","1909,99 ₽","1299,99 ₽",-32%
КОЛОМЕНСКИЙ Вафли с халвой 200г фл/п(Коломенский):20,"105,99 ₽","74,99 ₽",-29%
NEO/Ecobotanica NATURA Мармел черсморчиа 200г(Кр Октябрь):10,"138,99 ₽","84,99 ₽",-39%
